time,cpu %,memory %
2024-06-10 16:33:43,43.52,0.11
2024-06-10 16:33:47,5.08,0.11
2024-06-10 16:33:51,3.53,0.11
2024-06-10 16:33:55,0.03,0.10
2024-06-10 16:33:59,0.02,0.10
2024-06-10 16:34:03,0.03,0.10
2024-06-10 16:34:07,0.02,0.11
2024-06-10 16:34:11,70.96,0.10
2024-06-10 16:34:15,29.48,0.11
2024-06-10 16:34:19,28.61,0.11
2024-06-10 16:34:23,2.36,0.11
2024-06-10 16:34:27,25.19,0.11
2024-06-10 16:34:31,28.69,0.11
2024-06-10 16:34:35,81.82,0.11
2024-06-10 16:34:39,25.97,0.11
2024-06-10 16:34:43,0.02,0.11
2024-06-10 16:34:47,0.02,0.11
2024-06-10 16:34:51,8.39,0.11
2024-06-10 16:34:55,34.07,0.11
2024-06-10 16:34:59,32.86,0.11
2024-06-10 16:35:03,3.77,0.11
2024-06-10 16:35:07,2.20,0.11
2024-06-10 16:35:11,62.94,0.11
2024-06-10 16:35:15,67.29,0.11
2024-06-10 16:35:19,22.80,0.11
2024-06-10 16:35:23,0.02,0.11
2024-06-10 16:35:27,0.01,0.11
2024-06-10 16:35:31,0.01,0.11
2024-06-10 16:35:35,0.02,0.11
2024-06-10 16:35:39,0.03,0.11
2024-06-10 16:35:43,0.02,0.11
2024-06-10 16:35:47,0.03,0.11
2024-06-10 16:35:51,0.02,0.11
2024-06-10 16:35:55,58.46,0.11
2024-06-10 16:35:59,57.96,0.12
2024-06-10 16:36:03,57.95,0.11
2024-06-10 16:36:07,56.39,0.11
2024-06-10 16:36:11,51.96,0.11
2024-06-10 16:36:15,59.87,0.11
2024-06-10 16:36:20,3.43,0.12
2024-06-10 16:36:24,0.03,0.11
2024-06-10 16:36:28,0.02,0.11
2024-06-10 16:36:32,0.02,0.11
2024-06-10 16:36:36,0.02,0.11
2024-06-10 16:36:40,52.35,0.11
2024-06-10 16:36:44,2.72,0.11
2024-06-10 16:36:48,4.09,0.11
2024-06-10 16:36:52,8.16,0.12
2024-06-10 16:36:56,4.13,0.12
2024-06-10 16:37:00,70.00,0.11
2024-06-10 16:37:04,57.89,0.11
2024-06-10 16:37:08,30.97,0.11
2024-06-10 16:37:12,0.10,0.11
2024-06-10 16:37:16,54.37,0.11
2024-06-10 16:37:20,63.59,0.11
2024-06-10 16:37:24,50.59,0.11
2024-06-10 16:37:28,60.54,0.11
2024-06-10 16:37:32,8.38,0.11
2024-06-10 16:37:36,8.11,0.11
2024-06-10 16:37:40,5.23,0.11
2024-06-10 16:37:44,16.96,0.11
2024-06-10 16:37:48,0.02,0.11
2024-06-10 16:37:52,0.06,0.11
2024-06-10 16:37:56,33.06,0.11
2024-06-10 16:38:00,47.23,0.11
2024-06-10 16:38:04,46.44,0.11
2024-06-10 16:38:08,49.70,0.11
